Sfd_id;Code;Event;Geometry;geometry
104845361;HighRatio;Drought;[[[-53.90809662,-24.43784968],[-53.90500671,-24.43327834],[-53.90447027,-24.43327834],[-53.90764601,-24.43812317],[-53.90809662,-24.43784968]]];MULTIPOLYGON (((-53.90809662 -24.43784968,-53.90500671 -24.43327834,-53.90447027 -24.43327834,-53.90764601 -24.43812317,-53.90809662 -24.43784968)))
104850343;HighRatio;Drought;[[[-54.03088391,-24.53492889],[-54.02951128,-24.53495952],[-54.02940276,-24.53501433],[-54.02933839,-24.53517049],[-54.0293062,-24.53548281],[-54.02945641,-24.53574633],[-54.02943495,-24.53594153],[-54.0293813,-24.53613673],[-54.02949932,-24.53626361],[-54.02981046,-24.53651737],[-54.02991775,-24.53681017],[-54.03010014,-24.53685897],[-54.03030935,-24.53701025],[-54.03037372,-24.53735185],[-54.03126668,-24.53718927],[-54.03092336,-24.53644751],[-54.03059077,-24.53597903],[-54.03048348,-24.53572527],[-54.03025817,-24.5349835],[-54.03038087,-24.53495653],[-54.03087708,-24.53495897],[-54.0308744,-24.53510537],[-54.03092295,-24.53529582],[-54.03118044,-24.53573014],[-54.0315023,-24.53615959],[-54.03185636,-24.5370087],[-54.03430789,-24.53633527],[-54.03442591,-24.53619863],[-54.03404623,-24.53499966],[-54.03397649,-24.53494597],[-54.03088391,-24.53492889]]];MULTIPOLYGON(((-54.03088391 -24.53492889,-54.02951128 -24.53495952,-54.02940276 -24.53501433,-54.02933839 -24.53517049,-54.0293062 -24.53548281,-54.02945641 -24.53574633,-54.02943495 -24.53594153,-54.0293813 -24.53613673,-54.02949932 -24.53626361,-54.02981046 -24.53651737,-54.02991775 -24.53681017,-54.03010014 -24.53685897,-54.03030935 -24.53701025,-54.03037372 -24.53735185,-54.03126668 -24.53718927,-54.03092336 -24.53644751,-54.03059077 -24.53597903,-54.03048348 -24.53572527,-54.03025817 -24.5349835,-54.03038087 -24.53495653,-54.03087708 -24.53495897,-54.0308744 -24.53510537,-54.03092295 -24.53529582,-54.03118044 -24.53573014,-54.0315023 -24.53615959,-54.03185636 -24.5370087,-54.03430789 -24.53633527,-54.03442591 -24.53619863,-54.03404623 -24.53499966,-54.03397649 -24.53494597,-54.03088391 -24.53492889)))
104859367;HighRatio;Drought;[[[-53.88707324,-24.41215039],[-53.88442159,-24.41257246],[-53.88624618,-24.41541424],[-53.88901177,-24.41498506],[-53.88707324,-24.41215039]]];MULTIPOLYGON (((-53.88707324 -24.41215039,-53.88442159 -24.41257246,-53.88624618 -24.41541424,-53.88901177 -24.41498506,-53.88707324 -24.41215039)))
104856101;HighRatio;Drought;[[[-53.89631717,-24.21011204],[-53.89187543,-24.2100729],[-53.89127462,-24.21105141],[-53.89084546,-24.21324327],[-53.89217584,-24.21326284],[-53.89262645,-24.21251918],[-53.89292686,-24.21308671],[-53.89384954,-24.21240176],[-53.89372079,-24.21218648],[-53.89327018,-24.2124409],[-53.89301269,-24.21214734],[-53.89309852,-24.21165809],[-53.89354913,-24.21175594],[-53.89393537,-24.21236262],[-53.89631717,-24.21011204]]];MULTIPOLYGON(((-53.89631717 -24.21011204,-53.89187543 -24.2100729,-53.89127462 -24.21105141,-53.89084546 -24.21324327,-53.89217584 -24.21326284,-53.89262645 -24.21251918,-53.89292686 -24.21308671,-53.89384954 -24.21240176,-53.89372079 -24.21218648,-53.89327018 -24.2124409,-53.89301269 -24.21214734,-53.89309852 -24.21165809,-53.89354913 -24.21175594,-53.89393537 -24.21236262,-53.89631717 -24.21011204)))
104859345;HighRatio;Drought;[[[-53.86071475,-24.42844468],[-53.86008728,-24.42989039],[-53.86195426,-24.42923103],[-53.86185266,-24.42792207],[-53.85348235,-24.43109545],[-53.85385634,-24.43156829],[-53.85412379,-24.43203232],[-53.85424127,-24.43203812],[-53.85997683,-24.42992852],[-53.86061083,-24.42850266],[-53.86071475,-24.42844468]]];MULTIPOLYGON(((-53.86071475 -24.42844468,-53.86008728 -24.42989039,-53.86195426 -24.42923103,-53.86185266 -24.42792207,-53.85348235 -24.43109545,-53.85385634 -24.43156829,-53.85412379 -24.43203232,-53.85424127 -24.43203812,-53.85997683 -24.42992852,-53.86061083 -24.42850266,-53.86071475 -24.42844468)))
104859579;LowRatio;Drought;[[[-53.49965664,-25.47985979],[-53.49847647,-25.48025689],[-53.49813315,-25.48053776],[-53.49790784,-25.48088643],[-53.49796149,-25.48180653],[-53.4979293,-25.4820196],[-53.49783274,-25.48211645],[-53.49775764,-25.48214551],[-53.49766108,-25.48200023],[-53.49754306,-25.48174842],[-53.49746796,-25.48168062],[-53.49715682,-25.48169999],[-53.49697443,-25.4815644],[-53.49667403,-25.48126416],[-53.49648091,-25.48125447],[-53.49626633,-25.48119636],[-53.49536511,-25.48173873],[-53.49716755,-25.48274598],[-53.49745723,-25.48229078],[-53.49798294,-25.48229078],[-53.49809023,-25.48212614],[-53.498337,-25.48200991],[-53.49878761,-25.48204866],[-53.49894854,-25.48200991],[-53.49920603,-25.48200991],[-53.49965664,-25.47985979]]];MULTIPOLYGON(((-53.49965664 -25.47985979,-53.49847647 -25.48025689,-53.49813315 -25.48053776,-53.49790784 -25.48088643,-53.49796149 -25.48180653,-53.4979293 -25.4820196,-53.49783274 -25.48211645,-53.49775764 -25.48214551,-53.49766108 -25.48200023,-53.49754306 -25.48174842,-53.49746796 -25.48168062,-53.49715682 -25.48169999,-53.49697443 -25.4815644,-53.49667403 -25.48126416,-53.49648091 -25.48125447,-53.49626633 -25.48119636,-53.49536511 -25.48173873,-53.49716755 -25.48274598,-53.49745723 -25.48229078,-53.49798294 -25.48229078,-53.49809023 -25.48212614,-53.498337 -25.48200991,-53.49878761 -25.48204866,-53.49894854 -25.48200991,-53.49920603 -25.48200991,-53.49965664 -25.47985979)))
104840581;LowRatio;Drought;[[[-54.29297033,-25.24954844],[-54.2929596,-25.2466453],[-54.2909104,-25.24672293],[-54.29085675,-25.24955217],[-54.29297033,-25.24954844]]];MULTIPOLYGON (((-54.29297033 -25.24954844,-54.2929596 -25.2466453,-54.2909104 -25.24672293,-54.29085675 -25.24955217,-54.29297033 -25.24954844)))
104845530;LowRatio;Drought;[[[-54.3899261,-24.93833607],[-54.39059201,-24.93863147],[-54.39089724,-24.93856721],[-54.39139928,-24.93833673],[-54.39172358,-24.93804578],[-54.39120489,-24.9361625],[-54.39527193,-24.93527875],[-54.39320256,-24.92817539],[-54.39519481,-24.92789235],[-54.39535208,-24.92756736],[-54.39565033,-24.92716328],[-54.39502526,-24.92579447],[-54.39463268,-24.92614677],[-54.39415993,-24.92648985],[-54.39374384,-24.92684509],[-54.39343852,-24.9273234],[-54.3930431,-24.92714159],[-54.3927318,-24.92759714],[-54.39250217,-24.92824969],[-54.39222649,-24.92893816],[-54.39226177,-24.92948861],[-54.3910099,-24.93024297],[-54.38762541,-24.93110409],[-54.3899261,-24.93833607]]];MULTIPOLYGON(((-54.3899261 -24.93833607,-54.39059201 -24.93863147,-54.39089724 -24.93856721,-54.39139928 -24.93833673,-54.39172358 -24.93804578,-54.39120489 -24.9361625,-54.39527193 -24.93527875,-54.39320256 -24.92817539,-54.39519481 -24.92789235,-54.39535208 -24.92756736,-54.39565033 -24.92716328,-54.39502526 -24.92579447,-54.39463268 -24.92614677,-54.39415993 -24.92648985,-54.39374384 -24.92684509,-54.39343852 -24.9273234,-54.3930431 -24.92714159,-54.3927318 -24.92759714,-54.39250217 -24.92824969,-54.39222649 -24.92893816,-54.39226177 -24.92948861,-54.3910099 -24.93024297,-54.38762541 -24.93110409,-54.3899261 -24.93833607)))
104839105;LowRatio;Drought;[[[-54.24236055,-25.16559857],[-54.24198683,-25.16464525],[-54.23707798,-25.16539826],[-54.2371221,-25.16851914],[-54.23761755,-25.16858289],[-54.23768833,-25.16821903],[-54.23984426,-25.16845743],[-54.24004858,-25.16788743],[-54.24015663,-25.1668404],[-54.24029958,-25.16646969],[-54.24027977,-25.16603412],[-54.24029415,-25.16593048],[-54.24100932,-25.16576224],[-54.24236055,-25.16559857]]];MULTIPOLYGON(((-54.24236055 -25.16559857,-54.24198683 -25.16464525,-54.23707798 -25.16539826,-54.2371221 -25.16851914,-54.23761755 -25.16858289,-54.23768833 -25.16821903,-54.23984426 -25.16845743,-54.24004858 -25.16788743,-54.24015663 -25.1668404,-54.24029958 -25.16646969,-54.24027977 -25.16603412,-54.24029415 -25.16593048,-54.24100932 -25.16576224,-54.24236055 -25.16559857)))
104842384;LowRatio;Drought;[[[-54.21802422,-24.75362561],[-54.21366831,-24.7536451],[-54.21368977,-24.75325538],[-54.20506379,-24.75327486],[-54.20491358,-24.75397636],[-54.21811005,-24.75401534],[-54.21802422,-24.75362561]]];MULTIPOLYGON (((-54.21802422 -24.75362561,-54.21366831 -24.7536451,-54.21368977 -24.75325538,-54.20506379 -24.75327486,-54.20491358 -24.75397636,-54.21811005 -24.75401534,-54.21802422 -24.75362561)))
104843523;Drought-1;Drought;[[[-54.22460833,-25.36857278],[-54.22041628,-25.36727596],[-54.22000322,-25.36748923],[-54.21999249,-25.36769282],[-54.22011831,-25.36807353],[-54.21995738,-25.36860671],[-54.22328332,-25.36968277],[-54.22438839, -25.36971185],[-54.22460833,-25.36857278]]];MULTIPOLYGON(((-54.22460833 -25.36857278,-54.22041628 -25.36727596,-54.22000322 -25.36748923,-54.21999249 -25.36769282,-54.22011831 -25.36807353,-54.21995738 -25.36860671,-54.22328332 -25.36968277,-54.22438839 -25.36971185,-54.22460833 -25.36857278)))
104843089;Drought-2;Drought;[[[-54.28273626,-24.69708018],[-54.28153463,-24.69743109],[-54.28149171,-24.70441006],[-54.28260751,-24.70487791],[-54.28273626, -24.69708018]]];MULTIPOLYGON (((-54.28273626 -24.69708018,-54.28153463 -24.69743109,-54.28149171 -24.70441006,-54.28260751 -24.70487791,-54.28273626 -24.69708018)))
104840260;Drought-3;Drought;[[[-53.47771818, -24.91154265],[-53.4775707,-24.91107479],[-53.47750633,-24.91070502],[-53.47707718,-24.91033525],[-53.47679823,-24.91035472],[-53.4761545,-24.91025741],[-53.47566097,-24.91000441],[-53.47514599,-24.90967356],[-53.47492068,-24.90931353],[-53.47487777,-24.90882699],[-53.47465246,-24.90875887],[-53.47445934, -24.90875887],[-53.46538568,-24.91375975],[-53.4703424,-24.91627018],[-53.47771818,-24.91154265]]];MULTIPOLYGON(((-53.47771818 -24.91154265,-53.4775707 -24.91107479,-53.47750633 -24.91070502,-53.47707718 -24.91033525,-53.47679823 -24.91035472,-53.4761545 -24.91025741,-53.47566097 -24.91000441,-53.47514599 -24.90967356,-53.47492068 -24.90931353,-53.47487777 -24.90882699,-53.47465246 -24.90875887,-53.47445934 -24.90875887,-53.46538568 -24.91375975,-53.4703424 -24.91627018,-53.47771818 -24.91154265)))
104837739;Normal;Drought;[[[-54.21588064,-25.39226658],[-54.21414257,-25.39110349],[-54.21183429,-25.38949606],[-54.21169481,-25.38954452],[-54.21065411,-25.39072701],[-54.21092233,-25.39092086],[-54.2083991,-25.39398981],[-54.20968656,-25.39489118],[-54.21004061,-25.3948621],[-54.2102981,-25.39489118],[-54.21093174,-25.39521564],[-54.212069,-25.39604916],[-54.21225139,-25.39614608],[-54.21293803,-25.39573901],[-54.21320625,-25.39568086],[-54.21364614,-25.39542886],[-54.21377488,-25.39511872],[-54.21424889,-25.39486672],[-54.21439909,-25.39474072],[-54.21452784,-25.39472134],[-54.21474242,-25.39444996],[-54.21480679,-25.39403319],[-54.21497448,-25.39360438],[-54.21537144,-25.3931973],[-54.21562756,-25.3927527],[-54.21575631,-25.39245224],[-54.21588064,-25.39226658]]];MULTIPOLYGON(((-54.21588064 -25.39226658,-54.21414257 -25.39110349,-54.21183429 -25.38949606,-54.21169481 -25.38954452,-54.21065411 -25.39072701,-54.21092233 -25.39092086,-54.2083991 -25.39398981,-54.20968656 -25.39489118,-54.21004061 -25.3948621,-54.2102981 -25.39489118,-54.21093174 -25.39521564,-54.212069 -25.39604916,-54.21225139 -25.39614608,-54.21293803 -25.39573901,-54.21320625 -25.39568086,-54.21364614 -25.39542886,-54.21377488 -25.39511872,-54.21424889 -25.39486672,-54.21439909 -25.39474072,-54.21452784 -25.39472134,-54.21474242 -25.39444996,-54.21480679 -25.39403319,-54.21497448 -25.39360438,-54.21537144 -25.3931973,-54.21562756 -25.3927527,-54.21575631 -25.39245224,-54.21588064 -25.39226658)))
104857228;Normal;Drought;[[[-53.64106978,-24.85052328],[-53.64057089,-24.85054762],[-53.64039369,-24.85152557],[-53.64049545,-24.85159813],[-53.6403771,-24.85195742],[-53.64026914,-24.85194586],[-53.64016051,-24.852575],[-53.6395778,-24.85267175],[-53.63900582,-24.8526322],[-53.63895419,-24.85233466],[-53.63911294,-24.85166278],[-53.63921805,-24.85098115],[-53.63911931,-24.85050396],[-53.63753999,-24.85043566],[-53.63403166,-24.85042593],[-53.63407458,-24.85520104],[-53.64190663,-24.85498687],[-53.64265765,-24.85387707],[-53.64289368,-24.85335137],[-53.64289368,-24.85253361],[-53.64274348,-24.85189108],[-53.6418208,-24.8514822],[-53.64149893,-24.850993],[-53.64106978,-24.85052328]]];MULTIPOLYGON(((-53.64106978 -24.85052328,-53.64057089 -24.85054762,-53.64039369 -24.85152557,-53.64049545 -24.85159813,-53.6403771 -24.85195742,-53.64026914 -24.85194586,-53.64016051 -24.852575,-53.6395778 -24.85267175,-53.63900582 -24.8526322,-53.63895419 -24.85233466,-53.63911294 -24.85166278,-53.63921805 -24.85098115,-53.63911931 -24.85050396,-53.63753999 -24.85043566,-53.63403166 -24.85042593,-53.63407458 -24.85520104,-53.64190663 -24.85498687,-53.64265765 -24.85387707,-53.64289368 -24.85335137,-53.64289368 -24.85253361,-53.64274348 -24.85189108,-53.6418208 -24.8514822,-53.64149893 -24.850993,-53.64106978 -24.85052328)))
104855854;Normal;Drought;[[[-53.54702385,-24.81189325],[-53.54583295,-24.8121075],[-53.54548963,-24.81107522],[-53.54403051,-24.80941966],[-53.54114321,-24.81078849],[-53.53683971,-24.81274162],[-53.53754781,-24.81369598],[-53.53801988,-24.8145569],[-53.53882454,-24.81452281],[-53.53906594,-24.81454716],[-53.54311839,-24.81385816],[-53.54711182,-24.81308638],[-53.54702385,-24.81189325]]];MULTIPOLYGON(((-53.54702385 -24.81189325,-53.54583295 -24.8121075,-53.54548963 -24.81107522,-53.54403051 -24.80941966,-53.54114321 -24.81078849,-53.53683971 -24.81274162,-53.53754781 -24.81369598,-53.53801988 -24.8145569,-53.53882454 -24.81452281,-53.53906594 -24.81454716,-53.54311839 -24.81385816,-53.54711182 -24.81308638,-53.54702385 -24.81189325)))
