Sfd_id;Crop;Dir
104841902;Soybeans;NormalFieldInArea 
104863690;Soybeans;NormalFieldInArea 
104853289;Soybeans;NormalFieldPlusModification 
104839746;Soybeans;NormalFieldPlusModification 
104840287;Soybeans;NormalFieldPlusModification 
104842707;Soybeans;NormalFieldPlusModification 
104842773;Soybeans;NormalFieldPlusModification 
104844520;Soybeans;NormalFieldPlusModification 
104844525;Soybeans;NormalFieldPlusModification 
104847477;Soybeans;NormalFieldPlusModification 
104847771;Soybeans;NormalFieldPlusModification 
104847979;Soybeans;NormalFieldPlusModification 
104847981;Soybeans;NormalFieldPlusModification 
104852525;Soybeans;Normal_field_PlusModification
104852541;Soybeans;Normal_field_PlusModification
104852581;Soybeans;Normal_field_PlusModification
104852600;Soybeans;Normal_field_PlusModification
104854398;Soybeans;Normal_field_PlusModification
104852621;Soybeans;Normal_field_PlusModification
104852682;Soybeans;Normal_field_PlusModification
104852707;Soybeans;Normal_field_PlusModification
104852746;Soybeans;Normal_field_PlusModification
104852856;Soybeans;Normal_field_PlusModification
104853656;Soybeans;Normal_field_PlusModification
104854382;Soybeans;Normal_field_PlusModification
104854528;Soybeans;Normal_field_PlusModification
104854566;Soybeans;Normal_field_PlusModification
104854572;Soybeans;Normal_field_PlusModification
104854573;Soybeans;Normal_field_PlusModification
104854713;Soybeans;Normal_field_PlusModification
104845361;Soybeans;Drought
104850343;Soybeans;Drought
104859367;Soybeans;Drought
104856101;Soybeans;Drought
104859345;Soybeans;Drought
104859579;Soybeans;Drought
104840581;Soybeans;Drought
104845530;Soybeans;Drought
104839105;Soybeans;Drought
104842384;Soybeans;Drought
